Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
126.3946,6.131,31.0935,5.2095,18.715,11.6185,8.8189,2.3091,1.6563,10.783,28.3644,17.6764,72.9857,11.7868,17.6307,121.8145,5.8671,9.2326,9.0695,40.6146,27.2014
126.4947,6.4327,55.5071,5.9721,32.0524,7.3445,20.9519,2.9124,1.1141,24.021,114.3008,15.621,77.1542,17.3211,29.6246,34.0467,7.2645,7.5497,10.6495,2.3468,29.0704
126.5948,9.1441,65.5376,2.0729,16.3777,7.502,21.6078,3.332,2.6425,47.6788,212.4793,10.4917,40.0326,21.2844,24.3076,76.4022,26.583,9.0929,12.4252,33.4171,7.7785
126.6948,9.7785,32.0801,3.4417,12.9222,8.9476,25.7801,0.9231,2.2114,38.8341,151.1361,16.9867,72.5461,14.1961,16.6745,125.5278,43.9097,16.4889,6.6423,20.57,28.8189
126.7949,20.3615,90.2296,8.8394,18.3506,7.7214,21.2782,1.9499,0.3102,20.1094,96.9916,21.473,90.9651,20.6982,20.0156,170.439,14.6782,8.9772,11.4501,16.7453,22.6241
126.895,24.0708,115.6853,11.2604,41.4643,8.8517,19.0685,3.2034,2.9171,36.0057,166.3824,14.1805,58.7666,19.8831,21.3698,242.0302,7.6533,16.6114,18.3354,21.5078,11.856
126.9951,7.4254,58.2553,5.3837,6.5289,4.1159,3.7946,6.3503,4.4271,28.5083,124.7711,3.8392,19.5868,10.1174,26.8782,134.097,22.7302,17.9785,4.5602,8.4483,29.2581
127.0951,10.5978,52.8062,1.2123,16.4756,8.025,23.3134,7.9661,2.4161,4.8772,9.5158,4.3215,17.6606,11.5104,23.1741,97.9641,27.1972,15.586,8.9882,27.0951,31.3038
127.1952,6.8452,28.1456,1.9838,16.9288,11.8413,20.1439,5.7926,1.0707,16.8078,65.8572,8.128,39.2256,11.1108,16.2314,152.7346,26.9352,11.3271,7.1799,53.929,39.9754
127.2953,19.4544,115.5019,1.0353,11.81,13.7604,39.8136,6.6483,1.0492,20.8206,107.4218,24.6142,101.8022,16.0333,9.7491,120.0962,26.2719,2.8452,6.7062,51.2634,55.8506
127.3954,17.3843,111.3285,6.7843,46.1604,21.2667,58.4868,4.5992,0.7433,17.6674,102.2189,20.0821,99.4293,20.0603,10.132,9.1052,49.6351,3.3285,10.6109,24.4282,44.1798
127.4954,6.2147,35.5331,9.3789,57.306,18.2562,47.4273,3.0652,1.7848,8.0755,55.9414,8.8322,65.7639,13.435,5.0104,57.615,24.5893,6.1671,20.4894,25.2079,41.3348
127.5955,3.7182,40.267,9.9953,52.897,28.4374,60.508,4.603,4.3281,14.7996,72.5115,4.3097,15.7338,19.7252,13.3489,168.6625,9.2487,10.5911,25.7377,18.7346,20.361
127.6956,7.1365,37.2162,10.7333,29.4392,33.0318,73.8283,5.9459,6.1771,26.2615,135.9774,4.4651,35.5958,9.221,10.2272,151.5686,13.9972,10.3578,22.3113,16.4525,36.7725
127.7957,16.7374,27.1337,11.7152,47.606,21.931,44.5749,3.7727,3.2853,28.2901,148.0464,6.9074,44.0015,19.5282,4.3854,216.8138,23.8526,8.0528,17.008,11.3823,30.2101
127.8957,13.7494,13.3911,8.4232,39.464,17.7957,42.6063,1.854,1.1384,27.6304,143.1552,7.1025,32.8485,37.2935,25.8465,181.5683,19.5316,5.6143,5.5903,19.4159,42.9061
127.9958,10.2169,25.9302,6.3737,38.4247,31.1515,90.4049,3.6604,2.4498,32.1104,150.9726,4.4095,43.6135,39.3581,37.8211,6.2113,15.9556,12.1441,17.9711,35.4353,24.5983
128.0959,9.1722,35.2003,5.3924,25.6415,4.0897,30.4228,5.1635,2.9874,41.1239,198.8628,5.9155,54.0385,25.4752,28.9039,127.5637,16.6321,9.4101,17.4814,63.5479,10.5979
128.196,10.6492,38.9681,4.0004,3.7708,23.9496,39.7049,6.1853,3.0289,27.8583,150.0915,13.305,56.1944,13.3656,16.8743,140.0494,18.8012,1.6891,9.0831,49.6987,35.202
128.296,18.6932,65.9768,5.1045,17.1868,23.9189,44.5236,3.4884,3.22,13.7709,70.1081,12.8884,74.2547,12.3404,15.4133,49.8416,14.0504,3.3681,15.0503,37.5319,43.9472
128.3961,13.6665,79.2601,1.7763,23.9017,17.6355,11.2215,2.5206,2.1836,11.8191,68.2768,13.937,76.6704,17.2969,7.146,111.0664,2.7382,2.4775,8.4852,28.8951,49.3988
128.4962,13.1559,61.2542,6.2987,55.745,19.2972,34.3354,4.6085,1.7022,28.3914,115.3699,14.1493,59.9535,18.7031,40.5842,189.796,3.6245,5.9097,10.0337,12.7098,27.5411
128.5963,5.8063,26.8373,4.3736,37.9549,7.4512,21.2755,5.0816,4.4055,39.3442,156.1005,7.0186,25.706,36.0642,36.4069,115.1789,16.8899,2.2895,3.3569,17.1646,21.3435
128.6963,8.4558,49.6009,2.359,20.1858,9.6296,36.368,4.6773,4.8869,22.3181,71.3901,10.5246,38.085,13.1948,10.7286,89.9987,7.1961,4.0544,10.4552,5.2492,18.02
128.7964,6.617,31.3551,5.446,43.3535,17.7824,40.2678,5.982,4.0672,11.7331,23.3698,20.6828,93.4641,20.3234,7.0406,100.1724,5.1692,3.6165,16.359,30.5741,32.7048
128.8965,13.8637,41.1115,9.0349,42.9338,17.8837,52.6487,3.6938,3.0324,29.4329,147.4364,13.7063,60.8519,19.5847,17.0967,78.9089,20.3968,7.4687,16.3237,42.5583,32.9098
128.9966,16.5605,104.3785,5.6917,22.7025,15.3404,47.2165,3.935,3.8325,49.2594,241.0489,10.2231,41.923,5.5167,19.2561,91.9806,29.5182,8.9449,21.6116,27.396,46.1748
129.0966,18.039,130.4203,1.9684,21.6431,30.8631,92.3176,2.0276,3.5979,18.9701,92.0471,8.3549,34.8404,9.9398,20.2234,132.5843,39.8165,10.8027,23.1165,21.362,36.7987
129.1967,15.8629,92.0323,2.2567,16.142,30.7914,93.9878,3.2852,2.8225,27.3417,127.0172,10.9641,67.9934,18.5028,13.632,79.1207,26.7271,5.7223,23.4467,19.7044,17.3796
129.2968,14.4859,72.1644,4.9843,21.6514,19.3112,48.3598,5.0881,1.7675,18.588,77.7002,11.9259,77.3988,12.9498,16.6861,138.7168,13.306,7.1787,21.9765,16.9982,29.9678
129.3969,8.7558,33.6558,8.18,39.0291,21.4015,56.2515,4.7819,2.3893,7.8832,34.631,5.3904,23.9585,10.6992,23.9761,174.8563,19.9258,14.7755,12.0532,6.4981,13.7232
129.4969,6.318,39.6924,6.5309,31.8644,27.1689,67.1474,1.2384,1.4526,31.6124,149.3535,7.6505,51.5686,6.8208,18.8152,25.6798,11.3802,16.0564,6.5129,48.2775,51.4129
129.597,6.6408,41.3735,7.3424,17.0548,12.9082,30.6949,4.9902,2.8364,29.2723,160.5736,7.1779,66.0468,6.3065,9.3236,92.2158,28.7538,7.2943,8.5296,30.4617,47.6806
129.6971,7.0049,40.7296,12.8272,46.5314,16.2446,33.424,4.4918,6.2601,31.137,117.3478,15.9869,70.8765,26.3578,27.993,62.2448,29.1973,11.7611,6.8436,1.8376,36.1372
129.7972,13.6335,76.1173,10.431,15.491,18.1204,54.4919,4.4349,5.602,11.7538,38.1982,6.117,22.8804,30.8105,21.8851,109.8854,26.5353,19.2266,2.321,4.2707,15.6678
